unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
LW|0001787207-26-000009|nonDerivative|2026-07-28|Philip Amit|A|Common Stock|8788|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0001787207-26-000009,https://www.sec.gov/Archives/edgar/data/1679273/000178720726000009/form4-07302026_090752.xml,nonDerivative,2026-07-28,A,Common Stock,8788,0,0.0,38686.3,D,Philip Amit,Chief Strategy/Tech Officer,false,true,false,Chief Strategy/Tech Officer,SEC EDGAR
LW|0001877286-26-000004|nonDerivative|2026-07-28|Jones Gregory W|A|Common Stock|2746|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0001877286-26-000004,https://www.sec.gov/Archives/edgar/data/1679273/000187728626000004/form4-07302026_090748.xml,nonDerivative,2026-07-28,A,Common Stock,2746,0,0.0,12477.04,D,Jones Gregory W,VP AND CONTROLLER,false,true,false,VP AND CONTROLLER,SEC EDGAR
LW|0001699728-26-000012|nonDerivative|2026-07-28|Gray James D|A|Common Stock|16111|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0001699728-26-000012,https://www.sec.gov/Archives/edgar/data/1679273/000169972826000012/form4-07302026_090751.xml,nonDerivative,2026-07-28,A,Common Stock,16111,0,0.0,101444,D,Gray James D,Chief Financial Officer,false,true,false,Chief Financial Officer,SEC EDGAR
LW|0002052319-26-000006|nonDerivative|2026-07-28|Crowley Michael Christopher|A|Common Stock|8422|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0002052319-26-000006,https://www.sec.gov/Archives/edgar/data/1679273/000205231926000006/form4-07302026_090726.xml,nonDerivative,2026-07-28,A,Common Stock,8422,0,0.0,34061.7,D,Crowley Michael Christopher,"President, North America",false,true,false,"President, North America",SEC EDGAR
LW|0002107955-26-000006|nonDerivative|2026-07-28|Craps Jan Eli B|A|Common Stock|68656|0|D,2026-08-01 03:44:51+0000,LW,"Lamb Weston Holdings, Inc.",0001679273,4,2026-07-30,2026-07-28,0002107955-26-000006,https://www.sec.gov/Archives/edgar/data/1679273/000210795526000006/form4-07302026_090739.xml,nonDerivative,2026-07-28,A,Common Stock,68656,0,0.0,689168.8,D,Craps Jan Eli B,Executive Chair,true,true,false,Executive Chair,SEC EDGAR
"KO|0000021344-26-000156|nonDerivative|2026-07-28|Quincey James|M|Common Stock, $.25 Par Value|381140|45.435|D",2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,nonDerivative,2026-07-28,M,"Common Stock, $.25 Par Value",381140,45.435,17317095.900000002,503973,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
"KO|0000021344-26-000156|nonDerivative|2026-07-28|Quincey James|S|Common Stock, $.25 Par Value|381140|90.0447|D",2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,nonDerivative,2026-07-28,S,"Common Stock, $.25 Par Value",381140,90.0447,34319636.958000004,122833,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
"KO|0000021344-26-000156|nonDerivative|2026-07-29|Quincey James|M|Common Stock, $.25 Par Value|145947|45.435|D",2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,nonDerivative,2026-07-29,M,"Common Stock, $.25 Par Value",145947,45.435,6631101.945,268780,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
"KO|0000021344-26-000156|nonDerivative|2026-07-29|Quincey James|S|Common Stock, $.25 Par Value|145947|90.0942|D",2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,nonDerivative,2026-07-29,S,"Common Stock, $.25 Par Value",145947,90.0942,13148978.2074,122833,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
KO|0000021344-26-000156|derivative|2026-07-28|Quincey James|M|Employee Stock Option (Right to Buy)|381140|0|D,2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,derivative,2026-07-28,M,Employee Stock Option (Right to Buy),381140,0,0.0,145947,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
KO|0000021344-26-000156|derivative|2026-07-29|Quincey James|M|Employee Stock Option (Right to Buy)|145947|0|D,2026-08-01 03:44:51+0000,KO,COCA COLA CO,0000021344,4,2026-07-30,2026-07-28,0000021344-26-000156,https://www.sec.gov/Archives/edgar/data/21344/000002134426000156/form4.xml,derivative,2026-07-29,M,Employee Stock Option (Right to Buy),145947,0,0.0,0,D,Quincey James,"Director, Officer, Chairman",1,1,,Chairman,SEC EDGAR
HPQ|0001951912-26-000005|nonDerivative|2026-07-28|McQuarrie David P.|S|Common Stock|10524|27.98|D,2026-08-01 03:44:51+0000,HPQ,HP INC,0000047217,4,2026-07-30,2026-07-28,0001951912-26-000005,https://www.sec.gov/Archives/edgar/data/47217/000195191226000005/form4-07302026_080700.xml,nonDerivative,2026-07-28,S,Common Stock,10524,27.98,294461.52,81676,D,McQuarrie David P.,Chief Commercial Officer,false,true,false,Chief Commercial Officer,SEC EDGAR
"HOOD|0001783879-26-000116|nonDerivative|2026-07-28|Robinhood Markets, Inc.|S|Common Shares of Beneficial Interest|3595|25.08|D",2026-08-01 03:44:51+0000,HOOD,"Robinhood Markets, Inc.",0001783879,4,2026-07-30,2026-07-28,0001783879-26-000116,https://www.sec.gov/Archives/edgar/data/1783879/000178387926000116/wk-form4_1785450506.xml,nonDerivative,2026-07-28,S,Common Shares of Beneficial Interest,3595,25.08,90162.59999999999,13159727,D,"Robinhood Markets, Inc.",10% Owner,0,0,1,,SEC EDGAR
"HOOD|0001783879-26-000116|nonDerivative|2026-07-29|Robinhood Markets, Inc.|S|Common Shares of Beneficial Interest|885|25.15|D",2026-08-01 03:44:51+0000,HOOD,"Robinhood Markets, Inc.",0001783879,4,2026-07-30,2026-07-28,0001783879-26-000116,https://www.sec.gov/Archives/edgar/data/1783879/000178387926000116/wk-form4_1785450506.xml,nonDerivative,2026-07-29,S,Common Shares of Beneficial Interest,885,25.15,22257.75,13158842,D,"Robinhood Markets, Inc.",10% Owner,0,0,1,,SEC EDGAR
HON|0001742938-26-000008|nonDerivative|2026-07-28|Kapur Vimal|M|Common Stock|300||D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001742938-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000174293826000008/wk-form4_1785443296.xml,nonDerivative,2026-07-28,M,Common Stock,300,,,2337,D,Kapur Vimal,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
HON|0001742938-26-000008|nonDerivative|2026-07-28|Kapur Vimal|F|Common Stock|131|249.05|D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001742938-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000174293826000008/wk-form4_1785443296.xml,nonDerivative,2026-07-28,F,Common Stock,131,249.05,32625.550000000003,2206,D,Kapur Vimal,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
HON|0001742938-26-000008|derivative|2026-07-28|Kapur Vimal|M|Restricted Stock Units|300|0|D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001742938-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000174293826000008/wk-form4_1785443296.xml,derivative,2026-07-28,M,Restricted Stock Units,300,0,0.0,285,D,Kapur Vimal,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
HON|0001973103-26-000008|nonDerivative|2026-07-28|Hammoud Billal|M|Common Stock|349||D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001973103-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000197310326000008/wk-form4_1785443796.xml,nonDerivative,2026-07-28,M,Common Stock,349,,,3732,D,Hammoud Billal,"Officer, Pres/CEO Building Automation",0,1,0,Pres/CEO Building Automation,SEC EDGAR
HON|0001973103-26-000008|nonDerivative|2026-07-28|Hammoud Billal|F|Common Stock|158|249.05|D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001973103-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000197310326000008/wk-form4_1785443796.xml,nonDerivative,2026-07-28,F,Common Stock,158,249.05,39349.9,3574,D,Hammoud Billal,"Officer, Pres/CEO Building Automation",0,1,0,Pres/CEO Building Automation,SEC EDGAR
HON|0001973103-26-000008|derivative|2026-07-28|Hammoud Billal|M|Restricted Stock Units|349|0|D,2026-08-01 03:44:51+0000,HON,HONEYWELL INTERNATIONAL INC,0000773840,4,2026-07-30,2026-07-28,0001973103-26-000008,https://www.sec.gov/Archives/edgar/data/773840/000197310326000008/wk-form4_1785443796.xml,derivative,2026-07-28,M,Restricted Stock Units,349,0,0.0,0,D,Hammoud Billal,"Officer, Pres/CEO Building Automation",0,1,0,Pres/CEO Building Automation,SEC EDGAR
HAS|0002033439-26-000006|nonDerivative|2026-07-30|Hight John|S|Common Stock (Par Value $.50 per share)|3186|93.7071|D,2026-08-01 03:44:51+0000,HAS,"HASBRO, INC.",0000046080,4,2026-07-30,2026-07-30,0002033439-26-000006,https://www.sec.gov/Archives/edgar/data/46080/000203343926000006/wk-form4_1785442720.xml,nonDerivative,2026-07-30,S,Common Stock (Par Value $.50 per share),3186,93.7071,298550.8206,67557,D,Hight John,"Officer, President, WOTC",0,1,0,"President, WOTC",SEC EDGAR
GOOGL|0001193125-26-326284|nonDerivative|2026-07-30|ARNOLD FRANCES|S|Class C Capital Stock|82|333.39|D,2026-08-01 03:44:51+0000,GOOGL,Alphabet Inc.,0001652044,4,2026-07-30,2026-07-30,0001193125-26-326284,https://www.sec.gov/Archives/edgar/data/1652044/000119312526326284/ownership.xml,nonDerivative,2026-07-30,S,Class C Capital Stock,82,333.39,27337.98,18914,D,ARNOLD FRANCES,,true,false,false,,SEC EDGAR
GOOG|0001193125-26-326284|nonDerivative|2026-07-30|ARNOLD FRANCES|S|Class C Capital Stock|82|333.39|D,2026-08-01 03:44:51+0000,GOOG,Alphabet Inc.,0001652044,4,2026-07-30,2026-07-30,0001193125-26-326284,https://www.sec.gov/Archives/edgar/data/1652044/000119312526326284/ownership.xml,nonDerivative,2026-07-30,S,Class C Capital Stock,82,333.39,27337.98,18914,D,ARNOLD FRANCES,,true,false,false,,SEC EDGAR
GL|0000320335-26-000208|nonDerivative|2026-07-29|MAJORS MICHAEL CLAY|M|Common Stock|37000|103.2300|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-29,0000320335-26-000208,https://www.sec.gov/Archives/edgar/data/320335/000032033526000208/form4.xml,nonDerivative,2026-07-29,M,Common Stock,37000,103.2300,3819510.0,90518.447,D,MAJORS MICHAEL CLAY,"Officer, EVP - Chief Strategy Officer",0,1,0,EVP - Chief Strategy Officer,SEC EDGAR
GL|0000320335-26-000208|nonDerivative|2026-07-29|MAJORS MICHAEL CLAY|S|Common Stock|33500|178.5613|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-29,0000320335-26-000208,https://www.sec.gov/Archives/edgar/data/320335/000032033526000208/form4.xml,nonDerivative,2026-07-29,S,Common Stock,33500,178.5613,5981803.55,57018.447,D,MAJORS MICHAEL CLAY,"Officer, EVP - Chief Strategy Officer",0,1,0,EVP - Chief Strategy Officer,SEC EDGAR
GL|0000320335-26-000208|nonDerivative|2026-07-29|MAJORS MICHAEL CLAY|S|Common Stock|3500|179.349|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-29,0000320335-26-000208,https://www.sec.gov/Archives/edgar/data/320335/000032033526000208/form4.xml,nonDerivative,2026-07-29,S,Common Stock,3500,179.349,627721.5,53518.447,D,MAJORS MICHAEL CLAY,"Officer, EVP - Chief Strategy Officer",0,1,0,EVP - Chief Strategy Officer,SEC EDGAR
GL|0000320335-26-000208|derivative|2026-07-29|MAJORS MICHAEL CLAY|M|Employee Stock Option (Right to Buy)|37000|0|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-29,0000320335-26-000208,https://www.sec.gov/Archives/edgar/data/320335/000032033526000208/form4.xml,derivative,2026-07-29,M,Employee Stock Option (Right to Buy),37000,0,0.0,0,D,MAJORS MICHAEL CLAY,"Officer, EVP - Chief Strategy Officer",0,1,0,EVP - Chief Strategy Officer,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|M|Common Stock|10000|103.23|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,M,Common Stock,10000,103.23,1032300.0,60567.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|M|Common Stock|11000|120.49|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,M,Common Stock,11000,120.49,1325390.0,71567.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|S|Common Stock|10720|179.2972|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,S,Common Stock,10720,179.2972,1922065.984,60847.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|S|Common Stock|4840|180.0780|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,S,Common Stock,4840,180.0780,871577.52,56007.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|S|Common Stock|2650|181.2284|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,S,Common Stock,2650,181.2284,480255.26,53357.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|nonDerivative|2026-07-30|Kalmbach Thomas Peter|S|Common Stock|2790|181.8149|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,nonDerivative,2026-07-30,S,Common Stock,2790,181.8149,507263.571,50567.7765,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|derivative|2026-07-30|Kalmbach Thomas Peter|M|Employee Stock Option (Right to Buy)|10000|0|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,derivative,2026-07-30,M,Employee Stock Option (Right to Buy),10000,0,0.0,0,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
GL|0000320335-26-000210|derivative|2026-07-30|Kalmbach Thomas Peter|M|Employee Stock Option (right to buy)|11000|0|D,2026-08-01 03:44:51+0000,GL,GLOBE LIFE INC.,0000320335,4,2026-07-30,2026-07-30,0000320335-26-000210,https://www.sec.gov/Archives/edgar/data/320335/000032033526000210/form4.xml,derivative,2026-07-30,M,Employee Stock Option (right to buy),11000,0,0.0,0,D,Kalmbach Thomas Peter,"Officer, EVP & CFO",0,1,0,EVP & CFO,SEC EDGAR
EW|0001225208-26-006853|nonDerivative|2026-07-30|Markowitz Wayne|S|Common Stock|146.3127|86.0338|D,2026-08-01 03:44:51+0000,EW,Edwards Lifesciences Corp,0001099800,4,2026-07-30,2026-07-30,0001225208-26-006853,https://www.sec.gov/Archives/edgar/data/1099800/000122520826006853/doc4.xml,nonDerivative,2026-07-30,S,Common Stock,146.3127,86.0338,12587.83756926,21533.5581,D,Markowitz Wayne,"Officer, CVP, JAPAC",,1,,"CVP, JAPAC",SEC EDGAR
DRI|0001225208-26-006850|derivative|2026-07-29|Williamson Laura B|A|Restricted Stock Units (FY27 Annual Grant)|1154.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006850,https://www.sec.gov/Archives/edgar/data/940944/000122520826006850/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1154.0000,0.0000,0.0,1154.0000,D,Williamson Laura B,"Officer, President, LongHorn Steakhouse",,1,,"President, LongHorn Steakhouse",SEC EDGAR
DRI|0001225208-26-006850|derivative|2026-07-29|Williamson Laura B|A|Stock Option (Right to Buy)|3405.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006850,https://www.sec.gov/Archives/edgar/data/940944/000122520826006850/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),3405.0000,0.0000,0.0,3405.0000,D,Williamson Laura B,"Officer, President, LongHorn Steakhouse",,1,,"President, LongHorn Steakhouse",SEC EDGAR
DRI|0001225208-26-006850|derivative|2026-07-29|Williamson Laura B|A|Restricted Stock Units (FY27 Annual Grant)|125.0000|0.0000|I,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006850,https://www.sec.gov/Archives/edgar/data/940944/000122520826006850/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),125.0000,0.0000,0.0,125.0000,I,Williamson Laura B,"Officer, President, LongHorn Steakhouse",,1,,"President, LongHorn Steakhouse",SEC EDGAR
DRI|0001225208-26-006850|derivative|2026-07-29|Williamson Laura B|A|Stock Option (Right to Buy)|368.0000|0.0000|I,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006850,https://www.sec.gov/Archives/edgar/data/940944/000122520826006850/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),368.0000,0.0000,0.0,368.0000,I,Williamson Laura B,"Officer, President, LongHorn Steakhouse",,1,,"President, LongHorn Steakhouse",SEC EDGAR
DRI|0001225208-26-006848|derivative|2026-07-29|Wilkerson John W.|A|Restricted Stock Units (FY27 Annual Grant)|1622.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006848,https://www.sec.gov/Archives/edgar/data/940944/000122520826006848/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1622.0000,0.0000,0.0,1622.0000,D,Wilkerson John W.,"Officer, President, Olive Garden",,1,,"President, Olive Garden",SEC EDGAR
DRI|0001225208-26-006848|derivative|2026-07-29|Wilkerson John W.|A|Stock Option (Right to Buy)|4786.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006848,https://www.sec.gov/Archives/edgar/data/940944/000122520826006848/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),4786.0000,0.0000,0.0,4786.0000,D,Wilkerson John W.,"Officer, President, Olive Garden",,1,,"President, Olive Garden",SEC EDGAR
DRI|0001225208-26-006845|nonDerivative|2026-07-29|Vennam Rajesh|S|Common Stock|8478.0000|210.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006845,https://www.sec.gov/Archives/edgar/data/940944/000122520826006845/doc4.xml,nonDerivative,2026-07-29,S,Common Stock,8478.0000,210.0000,1780380.0,8569.4990,D,Vennam Rajesh,"Officer, SVP, CFO",,1,,"SVP, CFO",SEC EDGAR
DRI|0001225208-26-006845|derivative|2026-07-29|Vennam Rajesh|A|Restricted Stock Units (FY27 Annual Grant)|3744.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006845,https://www.sec.gov/Archives/edgar/data/940944/000122520826006845/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),3744.0000,0.0000,0.0,3744.0000,D,Vennam Rajesh,"Officer, SVP, CFO",,1,,"SVP, CFO",SEC EDGAR
DRI|0001225208-26-006845|derivative|2026-07-29|Vennam Rajesh|A|Stock Option (Right to Buy)|11044.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006845,https://www.sec.gov/Archives/edgar/data/940944/000122520826006845/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),11044.0000,0.0000,0.0,11044.0000,D,Vennam Rajesh,"Officer, SVP, CFO",,1,,"SVP, CFO",SEC EDGAR
DRI|0001225208-26-006851|derivative|2026-07-29|Milanes Douglas J.|A|Restricted Stock Units (FY27 Annual Grant)|936.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006851,https://www.sec.gov/Archives/edgar/data/940944/000122520826006851/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),936.0000,0.0000,0.0,936.0000,D,Milanes Douglas J.,"Officer, SVP, Chief Supply Chain Ofcr",,1,,"SVP, Chief Supply Chain Ofcr",SEC EDGAR
DRI|0001225208-26-006851|derivative|2026-07-29|Milanes Douglas J.|A|Stock Option (Right to Buy)|2761.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006851,https://www.sec.gov/Archives/edgar/data/940944/000122520826006851/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),2761.0000,0.0000,0.0,2761.0000,D,Milanes Douglas J.,"Officer, SVP, Chief Supply Chain Ofcr",,1,,"SVP, Chief Supply Chain Ofcr",SEC EDGAR
DRI|0001225208-26-006847|derivative|2026-07-29|Martin Melvin John|A|Restricted Stock Units (FY27 Annual Grant)|1997.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006847,https://www.sec.gov/Archives/edgar/data/940944/000122520826006847/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1997.0000,0.0000,0.0,1997.0000,D,Martin Melvin John,"Officer, Group President",,1,,Group President,SEC EDGAR
DRI|0001225208-26-006847|derivative|2026-07-29|Martin Melvin John|A|Stock Option (Right to Buy)|5890.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006847,https://www.sec.gov/Archives/edgar/data/940944/000122520826006847/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),5890.0000,0.0000,0.0,5890.0000,D,Martin Melvin John,"Officer, Group President",,1,,Group President,SEC EDGAR
DRI|0001225208-26-006852|derivative|2026-07-29|Madonna John W.|A|Restricted Stock Units (FY27 Annual Grant)|624.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006852,https://www.sec.gov/Archives/edgar/data/940944/000122520826006852/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),624.0000,0.0000,0.0,624.0000,D,Madonna John W.,"Officer, SVP, Corporate Controller",,1,,"SVP, Corporate Controller",SEC EDGAR
DRI|0001225208-26-006852|derivative|2026-07-29|Madonna John W.|A|Stock Option (Right to Buy)|1841.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006852,https://www.sec.gov/Archives/edgar/data/940944/000122520826006852/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),1841.0000,0.0000,0.0,1841.0000,D,Madonna John W.,"Officer, SVP, Corporate Controller",,1,,"SVP, Corporate Controller",SEC EDGAR
DRI|0001225208-26-006849|derivative|2026-07-29|Koren Lindsay L.|A|Restricted Stock Units (FY27 Annual Grant)|1373.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006849,https://www.sec.gov/Archives/edgar/data/940944/000122520826006849/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1373.0000,0.0000,0.0,1373.0000,D,Koren Lindsay L.,"Officer, SVP General Counsel",,1,,SVP General Counsel,SEC EDGAR
DRI|0001225208-26-006849|derivative|2026-07-29|Koren Lindsay L.|A|Stock Option (Right to Buy)|4050.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006849,https://www.sec.gov/Archives/edgar/data/940944/000122520826006849/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),4050.0000,0.0000,0.0,4050.0000,D,Koren Lindsay L.,"Officer, SVP General Counsel",,1,,SVP General Counsel,SEC EDGAR
