unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
WDC|0001266824-26-000174|nonDerivative|2026-08-21|Tregillis Cynthia L|S|Common Stock|235|477.27|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,nonDerivative,2026-08-21,S,Common Stock,235,477.27,112158.45,113928,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000174|nonDerivative|2026-08-21|Tregillis Cynthia L|M|Common Stock|11|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,nonDerivative,2026-08-21,M,Common Stock,11,0.0,0.0,113939,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000174|nonDerivative|2026-08-21|Tregillis Cynthia L|F|Common Stock|1109|459.44|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,nonDerivative,2026-08-21,F,Common Stock,1109,459.44,509518.96,112830,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000174|nonDerivative|2026-08-24|Tregillis Cynthia L|S|Common Stock|684|446.17|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,nonDerivative,2026-08-24,S,Common Stock,684,446.17,305180.28,112146,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000174|derivative|2026-08-20|Tregillis Cynthia L|M|Dividend Equivalent Rights|3.8337|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,derivative,2026-08-20,M,Dividend Equivalent Rights,3.8337,0.0,0.0,305.9703,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000174|derivative|2026-08-21|Tregillis Cynthia L|M|Dividend Equivalent Rights|11.1826|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000174,https://www.sec.gov/Archives/edgar/data/106040/000126682426000174/edgardoc.xml,derivative,2026-08-21,M,Dividend Equivalent Rights,11.1826,0.0,0.0,294.7877,D,Tregillis Cynthia L,"Officer, Chief Legal Officer & Corp Sec",0,1,0,Chief Legal Officer & Corp Sec,SEC EDGAR
WDC|0001266824-26-000173|nonDerivative|2026-08-20|Tan Irving|M|Common Stock|13|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,13,0.0,0.0,575979,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000173|nonDerivative|2026-08-20|Tan Irving|F|Common Stock|144|469.05|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,nonDerivative,2026-08-20,F,Common Stock,144,469.05,67543.2,575835,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000173|nonDerivative|2026-08-21|Tan Irving|M|Common Stock|25|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,nonDerivative,2026-08-21,M,Common Stock,25,0.0,0.0,575860,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000173|nonDerivative|2026-08-21|Tan Irving|F|Common Stock|545|459.44|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,nonDerivative,2026-08-21,F,Common Stock,545,459.44,250394.8,575315,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000173|derivative|2026-08-20|Tan Irving|M|Dividend Equivalent Rights|13.2646|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,derivative,2026-08-20,M,Dividend Equivalent Rights,13.2646,0.0,0.0,873.3983,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000173|derivative|2026-08-21|Tan Irving|M|Dividend Equivalent Rights|25.0128|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000173,https://www.sec.gov/Archives/edgar/data/106040/000126682426000173/edgardoc.xml,derivative,2026-08-21,M,Dividend Equivalent Rights,25.0128,0.0,0.0,848.3855,D,Tan Irving,"Director, Officer, Chief Executive Officer",1,1,0,Chief Executive Officer,SEC EDGAR
WDC|0001266824-26-000172|nonDerivative|2026-08-20|Gubbi Vidyadhara K|M|Common Stock|4|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,4,0.0,0.0,83407,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000172|nonDerivative|2026-08-20|Gubbi Vidyadhara K|F|Common Stock|592|469.05|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,nonDerivative,2026-08-20,F,Common Stock,592,469.05,277677.60000000003,82815,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000172|nonDerivative|2026-08-21|Gubbi Vidyadhara K|M|Common Stock|5|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,nonDerivative,2026-08-21,M,Common Stock,5,0.0,0.0,82820,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000172|nonDerivative|2026-08-21|Gubbi Vidyadhara K|F|Common Stock|694|459.44|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,nonDerivative,2026-08-21,F,Common Stock,694,459.44,318851.36,82126,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000172|derivative|2026-08-20|Gubbi Vidyadhara K|M|Dividend Equivalent Rights|4.7453|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,derivative,2026-08-20,M,Dividend Equivalent Rights,4.7453,0.0,0.0,232.4158,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000172|derivative|2026-08-21|Gubbi Vidyadhara K|M|Dividend Equivalent Rights|5.5576|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000172,https://www.sec.gov/Archives/edgar/data/106040/000126682426000172/edgardoc.xml,derivative,2026-08-21,M,Dividend Equivalent Rights,5.5576,0.0,0.0,226.8582,D,Gubbi Vidyadhara K,"Officer, Chief of Global Operations",0,1,0,Chief of Global Operations,SEC EDGAR
WDC|0001266824-26-000171|nonDerivative|2026-08-20|Davis Brian Scott|M|Common Stock|5|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,nonDerivative,2026-08-20,M,Common Stock,5,0.0,0.0,101608,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WDC|0001266824-26-000171|nonDerivative|2026-08-20|Davis Brian Scott|F|Common Stock|716|469.05|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,nonDerivative,2026-08-20,F,Common Stock,716,469.05,335839.8,100892,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WDC|0001266824-26-000171|nonDerivative|2026-08-21|Davis Brian Scott|M|Common Stock|4|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,nonDerivative,2026-08-21,M,Common Stock,4,0.0,0.0,100896,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WDC|0001266824-26-000171|nonDerivative|2026-08-21|Davis Brian Scott|F|Common Stock|593|459.44|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,nonDerivative,2026-08-21,F,Common Stock,593,459.44,272447.92,100303,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WDC|0001266824-26-000171|derivative|2026-08-20|Davis Brian Scott|M|Dividend Equivalent Rights|5.7366|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,derivative,2026-08-20,M,Dividend Equivalent Rights,5.7366,0.0,0.0,184.4235,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WDC|0001266824-26-000171|derivative|2026-08-21|Davis Brian Scott|M|Dividend Equivalent Rights|4.7532|0.0|D,2026-08-26 01:53:32+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-08-24,2026-08-20,0001266824-26-000171,https://www.sec.gov/Archives/edgar/data/106040/000126682426000171/edgardoc.xml,derivative,2026-08-21,M,Dividend Equivalent Rights,4.7532,0.0,0.0,179.6703,D,Davis Brian Scott,"Officer, Chief Sales & Mrktng Officer",0,1,0,Chief Sales & Mrktng Officer,SEC EDGAR
WAB|0001841890-26-000003|nonDerivative|2026-08-21|Mendonca Rogerio|S|Common Stock - Direct|2910|297.054|D,2026-08-26 01:53:32+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-08-24,2026-08-21,0001841890-26-000003,https://www.sec.gov/Archives/edgar/data/943452/000184189026000003/wk-form4_1787598714.xml,nonDerivative,2026-08-21,S,Common Stock - Direct,2910,297.054,864427.1399999999,7977,D,Mendonca Rogerio,"Officer, President, Equipment Group",0,1,0,"President, Equipment Group",SEC EDGAR
WAB|0001841890-26-000003|nonDerivative|2026-08-21|Mendonca Rogerio|S|Common Stock - Direct|9|296.2401|D,2026-08-26 01:53:32+0000,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,4,2026-08-24,2026-08-21,0001841890-26-000003,https://www.sec.gov/Archives/edgar/data/943452/000184189026000003/wk-form4_1787598714.xml,nonDerivative,2026-08-21,S,Common Stock - Direct,9,296.2401,2666.1609,7968,D,Mendonca Rogerio,"Officer, President, Equipment Group",0,1,0,"President, Equipment Group",SEC EDGAR
VST|0001268406-26-000007|nonDerivative|2026-08-24|BURKE JAMES A|P|Common Stock|2000|135|I,2026-08-26 01:53:32+0000,VST,Vistra Corp.,0001692819,4,2026-08-24,2026-08-24,0001268406-26-000007,https://www.sec.gov/Archives/edgar/data/1692819/000126840626000007/wk-form4_1787601817.xml,nonDerivative,2026-08-24,P,Common Stock,2000,135,270000.0,1139687,I,BURKE JAMES A,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VLO|0001628280-26-058657|nonDerivative|2026-08-21|Walsh Richard Joe|G|Common Stock|3104|0|D,2026-08-26 01:53:32+0000,VLO,VALERO ENERGY CORP/TX,0001035002,4,2026-08-24,2026-08-21,0001628280-26-058657,https://www.sec.gov/Archives/edgar/data/1035002/000162828026058657/wk-form4_1787603710.xml,nonDerivative,2026-08-21,G,Common Stock,3104,0,0.0,97091,D,Walsh Richard Joe,"Officer, EVP & GC",0,1,0,EVP & GC,SEC EDGAR
V|0001403161-26-000113|nonDerivative|2026-08-21|Taneja Rajat|S|Class A Common Stock|17927|370.9968|D,2026-08-26 01:53:32+0000,V,VISA INC.,0001403161,4,2026-08-24,2026-08-21,0001403161-26-000113,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000113/form4.xml,nonDerivative,2026-08-21,S,Class A Common Stock,17927,370.9968,6650859.6336,232112,D,Taneja Rajat,"Officer, PRESIDENT, TECHNOLOGY",,1,,"PRESIDENT, TECHNOLOGY",SEC EDGAR
V|0001403161-26-000112|nonDerivative|2026-08-21|MCINERNEY RYAN|M|Class A Common Stock|5875|134.76|D,2026-08-26 01:53:32+0000,V,VISA INC.,0001403161,4,2026-08-24,2026-08-21,0001403161-26-000112,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000112/form4.xml,nonDerivative,2026-08-21,M,Class A Common Stock,5875,134.76,791715.0,21049,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
V|0001403161-26-000112|nonDerivative|2026-08-21|MCINERNEY RYAN|S|Class A Common Stock|5875|367.87|D,2026-08-26 01:53:32+0000,V,VISA INC.,0001403161,4,2026-08-24,2026-08-21,0001403161-26-000112,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000112/form4.xml,nonDerivative,2026-08-21,S,Class A Common Stock,5875,367.87,2161236.25,15174,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
V|0001403161-26-000112|derivative|2026-08-21|MCINERNEY RYAN|M|Employee Stock Option (Right to Buy)|5875|0|D,2026-08-26 01:53:32+0000,V,VISA INC.,0001403161,4,2026-08-24,2026-08-21,0001403161-26-000112,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000112/form4.xml,derivative,2026-08-21,M,Employee Stock Option (Right to Buy),5875,0,0.0,64624,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
TRGP|0001193125-26-363663|nonDerivative|2026-08-20|Chung Paul W|G|Common Stock|1000|0|D,2026-08-26 01:53:32+0000,TRGP,Targa Resources Corp.,0001389170,4,2026-08-24,2026-08-20,0001193125-26-363663,https://www.sec.gov/Archives/edgar/data/1389170/000119312526363663/ownership.xml,nonDerivative,2026-08-20,G,Common Stock,1000,0,0.0,30479,D,Chung Paul W,,true,false,false,,SEC EDGAR
TPL|0001437749-26-028802|nonDerivative|2026-08-21|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|381.51|D,2026-08-26 01:53:32+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-08-24,2026-08-21,0001437749-26-028802,https://www.sec.gov/Archives/edgar/data/1811074/000143774926028802/rdgdoc.xml,nonDerivative,2026-08-21,P,Common Stock,1,381.51,381.51,3244015,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TMO|0000097745-26-000153|nonDerivative|2026-08-22|Meyer James|F|Common Stock|30.945|629.27|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-22,0000097745-26-000153,https://www.sec.gov/Archives/edgar/data/97745/000009774526000153/wk-form4_1787601765.xml,nonDerivative,2026-08-22,F,Common Stock,30.945,629.27,19472.76015,5830.038,D,Meyer James,"Officer, Sr. Vice President & CFO",0,1,0,Sr. Vice President & CFO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|M|Common Stock|10000|309.63|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,M,Common Stock,10000,309.63,3096300.0,133925.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|909|625.45|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,909,625.45,568534.05,133016.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|821|626.83|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,821,626.83,514627.43000000005,132195.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|1314|627.66|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,1314,627.66,824745.24,130881.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|2601|628.82|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,2601,628.82,1635560.82,128280.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|1250|629.85|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,1250,629.85,787312.5,127030.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|1035|630.87|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,1035,630.87,652950.45,125995.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|1430|632.01|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,1430,632.01,903774.2999999999,124565.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|560|632.94|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,560,632.94,354446.4,124005.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-20|CASPER MARC N|S|Common Stock|80|633.99|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-20,S,Common Stock,80,633.99,50719.2,123925.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|M|Common Stock|10000|309.63|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,M,Common Stock,10000,309.63,3096300.0,133925.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|S|Common Stock|2727|625.46|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,S,Common Stock,2727,625.46,1705629.4200000002,131198.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|S|Common Stock|3014|626.51|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,S,Common Stock,3014,626.51,1888301.14,128184.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|S|Common Stock|1791|627.39|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,S,Common Stock,1791,627.39,1123655.49,126393.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|S|Common Stock|2147|628.61|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,S,Common Stock,2147,628.61,1349625.67,124246.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|nonDerivative|2026-08-21|CASPER MARC N|S|Common Stock|321|629.10|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,nonDerivative,2026-08-21,S,Common Stock,321,629.10,201941.1,123925.358,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|derivative|2026-08-20|CASPER MARC N|M|Stock Option (Right to Buy)|10000|0|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,derivative,2026-08-20,M,Stock Option (Right to Buy),10000,0,0.0,10275,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
TMO|0000097745-26-000152|derivative|2026-08-21|CASPER MARC N|M|Stock Option (Right to Buy)|10000|0|D,2026-08-26 01:53:32+0000,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745,4,2026-08-24,2026-08-20,0000097745-26-000152,https://www.sec.gov/Archives/edgar/data/97745/000009774526000152/wk-form4_1787601757.xml,derivative,2026-08-21,M,Stock Option (Right to Buy),10000,0,0.0,275,D,CASPER MARC N,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
