unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
"IVZ|0000020430-26-000042|nonDerivative|2026-08-31|Invesco Advisers, Inc.|D|Class E Common Stock, $0.01 par value|8969.068|28.4503|D",2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0000020430-26-000042,https://www.sec.gov/Archives/edgar/data/914208/000002043026000042/wk-form4_1788368504.xml,nonDerivative,2026-08-31,D,"Class E Common Stock, $0.01 par value",8969.068,28.4503,255172.67532039995,166898.905,D,"Invesco Advisers, Inc.",Director,1,0,0,,SEC EDGAR
"IVZ|0000020430-26-000042|nonDerivative|2026-09-01|Invesco Advisers, Inc.|A|Class E Common Stock, $0.01 par value|15148.553|28.4503|D",2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0000020430-26-000042,https://www.sec.gov/Archives/edgar/data/914208/000002043026000042/wk-form4_1788368504.xml,nonDerivative,2026-09-01,A,"Class E Common Stock, $0.01 par value",15148.553,28.4503,430980.8774159,182047.458,D,"Invesco Advisers, Inc.",Director,1,0,0,,SEC EDGAR
"IVZ|0000020430-26-000040|nonDerivative|2026-08-31|Invesco Advisers, Inc.|D|Class E Common Stock, $0.01 par value|52636.636|26.037|D",2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0000020430-26-000040,https://www.sec.gov/Archives/edgar/data/914208/000002043026000040/wk-form4_1788368305.xml,nonDerivative,2026-08-31,D,"Class E Common Stock, $0.01 par value",52636.636,26.037,1370500.0915319999,515246.262,D,"Invesco Advisers, Inc.",Director,1,0,0,,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|A|Common Shares|25497|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,A,Common Shares,25497,0,0.0,46115,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|F|Common Shares|11984|32.78|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,F,Common Shares,11984,32.78,392835.52,34131,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|A|Common Shares|19179|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,A,Common Shares,19179,0,0.0,53310,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|F|Common Shares|9015|32.78|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,F,Common Shares,9015,32.78,295511.7,44295,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|A|Common Shares|20766|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,A,Common Shares,20766,0,0.0,65061,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|nonDerivative|2026-08-31|Butcher Stephanie|F|Common Shares|9761|32.78|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,nonDerivative,2026-08-31,F,Common Shares,9761,32.78,319965.58,55300,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|derivative|2026-08-31|Butcher Stephanie|M|Restricted Stock Units|25497|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,derivative,2026-08-31,M,Restricted Stock Units,25497,0,0.0,25497,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|derivative|2026-08-31|Butcher Stephanie|M|Restricted Stock Units|19179|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,derivative,2026-08-31,M,Restricted Stock Units,19179,0,0.0,38358,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IVZ|0001965994-26-000004|derivative|2026-08-31|Butcher Stephanie|M|Restricted Stock Units|20766|0|D,2026-09-03 04:15:26+0000,IVZ,Invesco Ltd.,0000914208,4,2026-09-02,2026-08-31,0001965994-26-000004,https://www.sec.gov/Archives/edgar/data/914208/000196599426000004/wk-form4_1788369228.xml,derivative,2026-08-31,M,Restricted Stock Units,20766,0,0.0,62838,D,Butcher Stephanie,"Officer, Senior Managing Director",0,1,0,Senior Managing Director,SEC EDGAR
IT|0000749251-26-000266|nonDerivative|2026-08-31|Safian Craig|J|Common Stock|18|188.20|D,2026-09-03 04:15:26+0000,IT,GARTNER INC,0000749251,4,2026-09-02,2026-08-31,0000749251-26-000266,https://www.sec.gov/Archives/edgar/data/749251/000074925126000266/form4.xml,nonDerivative,2026-08-31,J,Common Stock,18,188.20,3387.6,83090,D,Safian Craig,"Officer, EVP & CFO",,1,,EVP & CFO,SEC EDGAR
IT|0000749251-26-000265|nonDerivative|2026-08-31|Rupani Altaf|J|Common Stock|19|188.20|D,2026-09-03 04:15:26+0000,IT,GARTNER INC,0000749251,4,2026-09-02,2026-08-31,0000749251-26-000265,https://www.sec.gov/Archives/edgar/data/749251/000074925126000265/form4.xml,nonDerivative,2026-08-31,J,Common Stock,19,188.20,3575.7999999999997,1199,D,Rupani Altaf,"Officer, EVP, Chief Information Officer",,1,,"EVP, Chief Information Officer",SEC EDGAR
IT|0000749251-26-000268|nonDerivative|2026-08-31|Kranich Robin B|J|Common Stock|31|188.20|D,2026-09-03 04:15:26+0000,IT,GARTNER INC,0000749251,4,2026-09-02,2026-08-31,0000749251-26-000268,https://www.sec.gov/Archives/edgar/data/749251/000074925126000268/form4.xml,nonDerivative,2026-08-31,J,Common Stock,31,188.20,5834.2,20389,D,Kranich Robin B,"Officer, EVP & CHRO",,1,,EVP & CHRO,SEC EDGAR
IT|0000749251-26-000267|nonDerivative|2026-08-31|HALL EUGENE A|J|Common Stock|31|188.20|D,2026-09-03 04:15:26+0000,IT,GARTNER INC,0000749251,4,2026-09-02,2026-08-31,0000749251-26-000267,https://www.sec.gov/Archives/edgar/data/749251/000074925126000267/form4.xml,nonDerivative,2026-08-31,J,Common Stock,31,188.20,5834.2,1188228,D,HALL EUGENE A,"Director, Officer, Chairman and CEO",1,1,,Chairman and CEO,SEC EDGAR
"IRM|0001566391-26-000024|nonDerivative|2026-09-01|Meaney William L|M|Common Stock, par value $.01 per share|38474|37|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,nonDerivative,2026-09-01,M,"Common Stock, par value $.01 per share",38474,37,1423538.0,38474,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
"IRM|0001566391-26-000024|nonDerivative|2026-09-01|Meaney William L|S|Common Stock, par value $.01 per share|11332|113.45|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",11332,113.45,1285615.4000000001,27142,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
"IRM|0001566391-26-000024|nonDerivative|2026-09-01|Meaney William L|S|Common Stock, par value $.01 per share|20952|114.14|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",20952,114.14,2391461.28,6190,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
"IRM|0001566391-26-000024|nonDerivative|2026-09-01|Meaney William L|S|Common Stock, par value $.01 per share|6101|115|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",6101,115,701615.0,89,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
"IRM|0001566391-26-000024|nonDerivative|2026-09-01|Meaney William L|S|Common Stock, par value $.01 per share|89|116|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",89,116,10324.0,0,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
IRM|0001566391-26-000024|derivative|2026-09-01|Meaney William L|M|Employee Stock Option (Right to Buy)|38474||D,2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001566391-26-000024,https://www.sec.gov/Archives/edgar/data/1020569/000156639126000024/wk-form4_1788380823.xml,derivative,2026-09-01,M,Employee Stock Option (Right to Buy),38474,,,115422,D,Meaney William L,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
"IRM|0001769841-26-000009|nonDerivative|2026-09-01|McIntosh Greg W|S|Common Stock, par value $.01 per share|5000|115.60|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001769841-26-000009,https://www.sec.gov/Archives/edgar/data/1020569/000176984126000009/wk-form4_1788380549.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",5000,115.60,578000.0,75634,D,McIntosh Greg W,"Officer, EVP, Chief Commercial Officer",0,1,0,"EVP, Chief Commercial Officer",SEC EDGAR
"IRM|0001732058-26-000021|nonDerivative|2026-09-01|Kidd Mark|S|Common Stock, par value $.01 per share|6000|115.60|D",2026-09-03 04:15:26+0000,IRM,IRON MOUNTAIN INC,0001020569,4,2026-09-02,2026-09-01,0001732058-26-000021,https://www.sec.gov/Archives/edgar/data/1020569/000173205826000021/wk-form4_1788380422.xml,nonDerivative,2026-09-01,S,"Common Stock, par value $.01 per share",6000,115.60,693600.0,95507,D,Kidd Mark,"Officer, EVP, GM Data Centers & ALM",0,1,0,"EVP, GM Data Centers & ALM",SEC EDGAR
IBKR|0001381197-26-000149|nonDerivative|2026-09-01|Conkling Lori A|P|Class A common stock|25|94.53|D,2026-09-03 04:15:26+0000,IBKR,"Interactive Brokers Group, Inc.",0001381197,4,2026-09-02,2026-09-01,0001381197-26-000149,https://www.sec.gov/Archives/edgar/data/1381197/000138119726000149/ownership.xml,nonDerivative,2026-09-01,P,Class A common stock,25,94.53,2363.25,2559,D,Conkling Lori A,,true,false,false,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-08-31|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|1677|175.7694|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-08-31,S,"Common Stock, $1.00 par value",1677,175.7694,294765.2838,904442,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-08-31|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|7149|176.3437|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-08-31,S,"Common Stock, $1.00 par value",7149,176.3437,1260681.1113,897293,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-08-31|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|1052|177.1827|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-08-31,S,"Common Stock, $1.00 par value",1052,177.1827,186396.2004,896241,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-08-31|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|122|178.1843|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-08-31,S,"Common Stock, $1.00 par value",122,178.1843,21738.4846,896119,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-01|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|267|175.9481|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-01,S,"Common Stock, $1.00 par value",267,175.9481,46978.142700000004,895852,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-01|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|4463|176.1848|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-01,S,"Common Stock, $1.00 par value",4463,176.1848,786312.7624,891389,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-01|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|2986|177.5537|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-01,S,"Common Stock, $1.00 par value",2986,177.5537,530175.3482,888403,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-01|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|2264|178.3361|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-01,S,"Common Stock, $1.00 par value",2264,178.3361,403752.93039999995,886139,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-01|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|20|179.0800|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-01,S,"Common Stock, $1.00 par value",20,179.0800,3581.6000000000004,886119,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-02|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|1478|175.5103|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-02,S,"Common Stock, $1.00 par value",1478,175.5103,259404.2234,884641,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-02|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|977|176.6149|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-02,S,"Common Stock, $1.00 par value",977,176.6149,172552.7573,883664,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-02|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|5509|177.3829|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-02,S,"Common Stock, $1.00 par value",5509,177.3829,977202.3961,878155,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-02|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|1680|178.5792|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-02,S,"Common Stock, $1.00 par value",1680,178.5792,300013.056,876475,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
"HSY|0000950142-26-002485|nonDerivative|2026-09-02|HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL|S|Common Stock, $1.00 par value|356|179.0858|D",2026-09-03 04:15:26+0000,HSY,HERSHEY CO,0000047111,4,2026-09-02,2026-08-31,0000950142-26-002485,https://www.sec.gov/Archives/edgar/data/47111/000095014226002485/es260825730_4-hsy.xml,nonDerivative,2026-09-02,S,"Common Stock, $1.00 par value",356,179.0858,63754.5448,876119,D,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,0,0,1,,SEC EDGAR
HPQ|0001747222-26-000003|nonDerivative|2026-08-31|Francisco Ma. Fatima|G|Common Stock|12176|0|D,2026-09-03 04:15:26+0000,HPQ,HP INC,0000047217,4,2026-09-02,2026-08-31,0001747222-26-000003,https://www.sec.gov/Archives/edgar/data/47217/000174722226000003/form4-09022026_080907.xml,nonDerivative,2026-08-31,G,Common Stock,12176,0,0.0,0,D,Francisco Ma. Fatima,,true,false,false,,SEC EDGAR
HPQ|0001747222-26-000003|nonDerivative|2026-08-31|Francisco Ma. Fatima|G|Common Stock|12176|0|I,2026-09-03 04:15:26+0000,HPQ,HP INC,0000047217,4,2026-09-02,2026-08-31,0001747222-26-000003,https://www.sec.gov/Archives/edgar/data/47217/000174722226000003/form4-09022026_080907.xml,nonDerivative,2026-08-31,G,Common Stock,12176,0,0.0,12176,I,Francisco Ma. Fatima,,true,false,false,,SEC EDGAR
HPQ|0001747222-26-000003|nonDerivative|2026-09-01|Francisco Ma. Fatima|G|Common Stock|12176|0|I,2026-09-03 04:15:26+0000,HPQ,HP INC,0000047217,4,2026-09-02,2026-08-31,0001747222-26-000003,https://www.sec.gov/Archives/edgar/data/47217/000174722226000003/form4-09022026_080907.xml,nonDerivative,2026-09-01,G,Common Stock,12176,0,0.0,12176,I,Francisco Ma. Fatima,,true,false,false,,SEC EDGAR
"HOOD|0001783879-26-000140|nonDerivative|2026-08-31|Robinhood Markets, Inc.|S|Common Shares of Beneficial Interest|4355|26.66|D",2026-09-03 04:15:26+0000,HOOD,"Robinhood Markets, Inc.",0001783879,4,2026-09-02,2026-08-31,0001783879-26-000140,https://www.sec.gov/Archives/edgar/data/1783879/000178387926000140/wk-form4_1788380922.xml,nonDerivative,2026-08-31,S,Common Shares of Beneficial Interest,4355,26.66,116104.3,12984209,D,"Robinhood Markets, Inc.",10% Owner,0,0,1,,SEC EDGAR
GNRC|0001437749-26-029526|nonDerivative|2026-09-01|Jagdfeld Aaron|S|Common Stock|5000|182.21|D,2026-09-03 04:15:26+0000,GNRC,GENERAC HOLDINGS INC.,0001474735,4,2026-09-02,2026-09-01,0001437749-26-029526,https://www.sec.gov/Archives/edgar/data/1474735/000143774926029526/rdgdoc.xml,nonDerivative,2026-09-01,S,Common Stock,5000,182.21,911050.0,549528,D,Jagdfeld Aaron,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
GILD|0001638643-26-000031|nonDerivative|2026-09-01|O'Day Daniel Patrick|S|Common Stock|1600|147.5087|D,2026-09-03 04:15:26+0000,GILD,"GILEAD SCIENCES, INC.",0000882095,4,2026-09-02,2026-09-01,0001638643-26-000031,https://www.sec.gov/Archives/edgar/data/882095/000163864326000031/wk-form4_1788379963.xml,nonDerivative,2026-09-01,S,Common Stock,1600,147.5087,236013.92,590533,D,O'Day Daniel Patrick,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
GILD|0001638643-26-000031|nonDerivative|2026-09-01|O'Day Daniel Patrick|S|Common Stock|7992|148.3636|D,2026-09-03 04:15:26+0000,GILD,"GILEAD SCIENCES, INC.",0000882095,4,2026-09-02,2026-09-01,0001638643-26-000031,https://www.sec.gov/Archives/edgar/data/882095/000163864326000031/wk-form4_1788379963.xml,nonDerivative,2026-09-01,S,Common Stock,7992,148.3636,1185721.8912,582541,D,O'Day Daniel Patrick,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
GILD|0001638643-26-000031|nonDerivative|2026-09-01|O'Day Daniel Patrick|S|Common Stock|5408|149.3817|D,2026-09-03 04:15:26+0000,GILD,"GILEAD SCIENCES, INC.",0000882095,4,2026-09-02,2026-09-01,0001638643-26-000031,https://www.sec.gov/Archives/edgar/data/882095/000163864326000031/wk-form4_1788379963.xml,nonDerivative,2026-09-01,S,Common Stock,5408,149.3817,807856.2335999999,577133,D,O'Day Daniel Patrick,"Director, Officer, Chairman & CEO",1,1,0,Chairman & CEO,SEC EDGAR
FSLR|0001274494-26-000182|nonDerivative|2026-09-01|Gloeckler Markus|S|Common Stock|800|200.00|D,2026-09-03 04:15:26+0000,FSLR,"FIRST SOLAR, INC.",0001274494,4,2026-09-02,2026-09-01,0001274494-26-000182,https://www.sec.gov/Archives/edgar/data/1274494/000127449426000182/form4.xml,nonDerivative,2026-09-01,S,Common Stock,800,200.00,160000.0,5842,D,Gloeckler Markus,"Officer, Chief Technology Officer",,1,,Chief Technology Officer,SEC EDGAR
FFIV|0002060650-26-000010|derivative|2026-09-01|OKEKE ANGELIQUE M|A|Restricted Stock Unit|3002|0|D,2026-09-03 04:15:26+0000,FFIV,"F5, INC.",0001048695,4,2026-09-02,2026-09-01,0002060650-26-000010,https://www.sec.gov/Archives/edgar/data/1048695/000206065026000010/wk-form4_1788383552.xml,derivative,2026-09-01,A,Restricted Stock Unit,3002,0,0.0,3002,D,OKEKE ANGELIQUE M,"Officer, EVP, General Counsel",0,1,0,"EVP, General Counsel",SEC EDGAR
ETR|0000065984-26-000311|nonDerivative|2026-08-31|Ropp Ralph Lewis|A|Common Stock|218|0|D,2026-09-03 04:15:26+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-09-02,2026-08-31,0000065984-26-000311,https://www.sec.gov/Archives/edgar/data/65984/000006598426000311/form4.xml,nonDerivative,2026-08-31,A,Common Stock,218,0,0.0,3641,D,Ropp Ralph Lewis,Director,1,,,,SEC EDGAR
ETR|0000065984-26-000309|nonDerivative|2026-08-31|PUCKETT KAREN A|A|Common Stock|218|0|D,2026-09-03 04:15:26+0000,ETR,ENTERGY CORP /DE/,0000065984,4,2026-09-02,2026-08-31,0000065984-26-000309,https://www.sec.gov/Archives/edgar/data/65984/000006598426000309/form4.xml,nonDerivative,2026-08-31,A,Common Stock,218,0,0.0,34441,D,PUCKETT KAREN A,Director,1,,,,SEC EDGAR
